species	01_A	01_B	01_C	02_A	02_B	02_C	03_A	03_B	03_C	04_A	04_B	04_C	05_A	05_B	06_A	07_A	07_B	08_A	08_B	09_A	10_A	10_B
GGB28319_SGB40892	0.0050083749644548	0.0012069446430074	0.0078822924978074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Monoglobus_pectinilyticus	0.0046380077401926	0.0021708240454093	0.0015071636204598	0.0010212158039489	0.0058322769831009	0.0151776529273566	0.6274103996648014	0.884931464710946	0.0523403683423634	0.0	0.0	0.0	0.0	0.0	0.0	0.0265788246558136	0.2075037538189943	0.0	0.0	0.0	0.0	0.0
GGB9545_SGB14952	0.0042339707682702	0.0047271998517793	0.0042616350647486	0.0	0.0	0.0	0.0	0.0	0.0	0.0055534417137764	0.0061685782270441	0.0046086233960479	0.0	0.0	0.0	0.0006211641048593	0.0	0.0	0.0	0.0	0.0	0.0
Clostridia_bacterium_UC5_1_1D1	0.0040740394668842	0.0036375970490642	0.0157385994159518	0.0	0.0056272039527528	0.0100280921127178	0.0185295193019668	0.0270983797806222	0.0164751134563481	0.0020419577993731	0.0039550967491896	0.0	0.0500059938236615	0.0329474345364125	0.0	0.0	0.0	0.1826421247184643	0.2313868132947137	0.0	0.0	0.0486029202492669
Clostridium_hylemonae	0.0035437409412361	0.0086665330615954	0.0035600244138449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01214824836626	0.0105937178892889	0.0	0.0304807850891555	0.0041362874515414	0.0	0.0	0.7635701406728878	0.0	0.0
Actinobaculum_sp_oral_taxon_183	0.0035100711935759	0.0079121926597157	0.0048159940975614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0060716604052451	0.0049708015865015	0.0	0.0	0.0	0.0	0.0
Lacticaseibacillus_rhamnosus	0.0035100711935759	0.0034615842886256	0.005205777792508	0.0	0.0	0.0014044256767196	0.0	0.0	0.0	0.0236234866747567	0.0060227286723018	0.0871228693031501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Diplocloster_modestus	0.0034343142613404	0.0	2.598557966310153e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025593968759933	0.0030835759327455	0.0004011781943679	0.0062203898388029	0.0029117286665456	0.0	0.0	0.0	0.0	0.0
Lactonifactor_longoviformis	0.003358557329105	0.0043416480908186	0.0006669632113529	0.0174812847069679	0.0061439879892301	0.0089111219838647	0.0241891266159482	0.0340334256586894	0.0248991972721006	0.0010081632649624	0.0045213361970129	0.0074533459050531	0.0016529438157456	0.0040908185010348	0.0	0.012685745803466	0.0332807865344417	0.0007053788260961	0.0050133664986446	0.0342759941109429	0.0	0.0004841605127941
Fumia_xinanensis	0.0029629377940976	0.0009387347223391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
