genus	01_A	01_B	01_C	02_A	02_B	02_C	03_A	03_B	03_C	04_A	04_B	04_C	05_A	05_B	06_A	07_A	07_B	08_A	08_B	09_A	10_A	10_B
GGB9464	2.6852633851439847	1.7234331346144838	0.614160513477517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0078564136079396	0.1321707115272148	0.0	0.0	2.8180399965840697	0.0	0.0
GGB9086	2.433809292180691	1.9362828513448664	1.675922636651958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB4566	2.264189520905515	0.9562940905829118	1.352428155426007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfovibrio	2.2136259773568088	1.5972906563001594	2.4048441317816187	0.0	0.0	0.0	0.0152967095514109	0.0096537977968466	0.0099336518733641	0.0003844690417229	0.0009351530274656	0.0026717910494912	0.000231056662416	0.000256228372635	0.3537519547815473	0.0001749758041857	0.0012517712024401	0.3605505626160182	0.6003809959683167	0.0	0.2474755587036734	0.502669034853437
Ruthenibacterium	1.947264603616961	2.6678421730877804	3.4833582919788726	0.0589249559947844	0.0540818595634102	0.0582138549508139	0.1597919160986163	0.4567503223549621	0.2212037745110624	0.4904714284042534	0.2494799530795801	0.1108317724025186	0.1793177436242833	0.1977376199852273	0.3449696408309282	0.5219003311448012	0.4014920069739608	0.1224129712179405	0.1816868305313329	1.5244167016038264	0.1680195840792321	0.0957788410924036
Erysipelatoclostridium	1.2909233776028393	0.6772719574876392	0.2514884399794966	0.0304756527320186	0.0133871674211262	0.0247704552104479	1.0750888426015413	0.4951248371429815	1.204505174796736	1.6984731574978724	0.5904333151393344	1.3536988185025685	0.004985491831362	0.0142074214895552	0.280868342383012	0.7261583361610228	0.5039376878461291	1.319627806984737	0.5668573601253034	23.518607825267363	1.973727147762757	1.0302341129173949
Alistipes	1.051632480981793	1.022290494187363	0.9498075841259118	3.464542963985921	1.7537599467736116	1.6346611445295358	1.20897447568554	2.5926285715703186	1.6527688068009752	1.7241129707025544	1.6190673278092795	0.6709135369034664	2.619747098857474	2.656681793013319	1.179934839756784	9.39438093641061	5.4795921554585645	1.1790279600096183	3.326516123806597	2.3547316753868035	2.51192074768267	2.864505944792384
Bifidobacterium	1.0128196793664968	1.436792163460226	0.3947815881017261	0.5337983459003505	0.6259813236770762	0.7856077993037748	0.0	0.0122120987827146	0.0836422163415755	0.009278519540248	0.0043411690999782	0.0072804144455391	2.4682005886966603	2.9390012823514766	0.6356145213853842	0.8082307371143431	0.7896227169827451	12.79043878717995	10.159188221858251	0.1336181369627238	12.072875371059068	2.768124026570009
Barnesiella	0.9248490461673072	0.1738251732731408	0.2435195288828121	0.0	0.0	0.0	0.0	0.0	0.0	0.5906640606772633	0.5816737624692201	0.246176579191146	0.0	0.0	0.16509354824749	0.0	0.0	0.0	0.0	0.0	0.3650066226601254	0.1244547339203528
GGB3497	0.8812383055104324	1.3895788358625791	0.422811366698325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005319971707922	0.0	0.0	0.0	0.0	0.0	0.2684873981793741	0.08371729849297
Anaerostipes	0.8334020115222023	0.6607854289265578	0.3684148866035658	0.613871314213132	0.9380614612608684	1.1455596363423362	2.367652038693732	3.623909114978059	3.394055561256042	6.246374539552028	6.412344309332102	0.6556696287473078	0.9451372776129155	2.098510371880757	1.9741368456288224	0.0600079520454989	0.4492044455597236	1.1711243177413122	1.571317430613275	2.8823952738828265	2.0811321245980228	2.1899514338529347
GGB3005	0.7448169054282142	1.0372180525845598	1.179121662792895	0.0231502385792827	0.0043229394797386	0.0133872155149304	0.0220864861277817	0.0430543336646071	0.0156856267135741	0.0	0.0	0.0	0.7298013550358508	0.6617141900604838	0.0459523457853156	1.0942111914755135	0.447970815968913	0.0	0.0	0.0652460077804006	0.3337768683976717	0.2503704434231722
Neglectibacter	0.7426199543933861	0.3888792402890167	0.2077114001070582	0.0604447180967241	0.0113856546449284	0.0353406063562856	1.559931456166623	2.0320040980365435	0.0358305521720472	1.2194503627804814	1.050511445881298	1.957653294282216	0.2891940733978307	0.3409781157493249	0.5643007367039407	0.6294579579777745	0.6967648778568033	0.2198742287802386	0.6876899011159942	0.0	1.2667292546214914	4.57314237061933
Lachnoclostridium	0.707864357371144	1.1924696888514188	1.2298974854545954	0.2119786694779621	0.0641550468141106	0.1143005388474149	0.6232839677067747	0.5692977378517178	0.4702911796954808	0.0106028017950716	0.0004118105075078	0.0148029329343978	0.2163401303791036	0.1226362004197924	0.0762412994600928	1.3462988325659069	2.364133190312918	1.6260766634931871	1.617461219147513	1.5792394498057618	0.5184423038533627	0.7608624928780727
GGB45432	0.6903392537140095	0.4189941854440577	0.4731714200854158	0.0399721556018113	0.0287512388548085	0.0418699538006841	0.0047747461085446	0.0085752109700521	0.0	0.0503056381703319	0.0360505781780802	0.0829379279829114	0.0	0.0	0.0002878017481335	0.0	0.0	0.0	0.0	0.0	0.1072380174433256	0.0997200775474298
GGB9531	0.6231007676365887	0.1970420945309932	0.544545145560068	0.06896021050918	0.0108934793720929	0.0125987660122105	0.0047309410983745	0.0160540072318752	0.0	0.0821994811203742	0.0419360366812128	0.2209458792480542	0.0030926045584919	0.0204275861217982	0.0	0.0	0.0	0.0	0.0	0.0	0.0660574834212234	0.0373907820582441
Anaerotruncus	0.5773183282556309	0.5070005656633537	0.0996893454475451	0.3723015096286187	0.0816354719209857	0.0966261291614455	0.008165253895713	0.0072916035067595	0.001665730270468	0.0526808024725316	0.0276770978587546	0.0606470628515576	0.0137389846190475	0.0143841307120621	0.0672235113519098	1.319693761539465	1.6028930247246316	0.0	0.0	0.0	0.6740568051114223	0.3093106153227987
Blautia	0.5331436193254476	0.6872041061123882	0.8206592532002971	6.947805537354465	4.9559589098173165	4.472159496567742	15.401368481709428	10.597106659315292	17.64141961874447	5.675865200417532	6.562483556860995	7.320586423584243	3.4361413815311	6.838346505338982	12.81870730439632	1.410130005932864	2.150742483520129	15.662579894782109	11.616100282026675	4.948496014352394	2.7649059663203768	5.235482446165832
Butyricimonas	0.4126227575757593	0.486733953532853	0.4209230812428063	0.0159856458129955	0.0157742174943785	0.0174198062007161	0.0	0.0	0.0	0.0778079902882494	0.0628611580939538	0.0747063905100453	0.0	0.0	0.100015468108939	0.0	0.0	0.0298128785776544	0.1344328155060451	0.0	0.0	0.0
Methanomassiliicoccus	0.3930017121267773	0.1129666659614925	0.3375440179638012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15538910607894	0.0839976019477456
Romboutsia	0.3855859502046181	0.7923172503343112	0.7579214020336823	0.0	0.0	0.0	0.0	0.0017471323805927	0.0	0.0	0.0	0.0	0.0017418117628288	0.0457500177070378	0.596115911770335	0.0416179950255778	0.0	0.0	0.0	0.0	0.0	0.0
Longicatena	0.3848031285715185	0.954458528938338	2.144390666818352	0.0491148514214169	0.0118778299177639	0.0110218670067709	0.3265663508183521	0.2225543578890777	0.3396007588916747	0.9320640259707912	0.4514129513131533	2.38397257484909	0.0	0.0	0.0	0.0864467960579639	0.185697536640254	0.6167815458304661	0.1684508490833539	0.0	0.4938157935421521	1.4784648192357828
Hungatella	0.3788688355464081	0.0890373121018648	0.6468330489739234	0.0060147198531794	0.0070791210076176	0.0063568741156786	0.749836642088293	0.3050885349906506	0.1722555964590793	0.9224608436841994	0.1515205286061578	0.3870638392571968	0.0195776087424073	0.0130499760821349	0.0275330339047715	0.2052116231490337	0.0625159936754899	0.0324474260004232	0.2503560737316271	0.0	0.0027214380886286	0.0755630161722262
