feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.7269..mitochondrial.NADPH.production..yeast.	spike_inhibition	yes	4.09164987270935	1.66558361288758	22	13	0.0140264110964869	0.151820746076312
PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle.	age	age	-0.325280250423301	0.131911871634831	22	21	0.0136673052399892	0.151820746076312
PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle.	status	uninfected	-0.901580400176192	0.366598975407273	22	21	0.0139204492515955	0.151820746076312
PWY.7254..TCA.cycle.VII..acetate.producers.	spike_inhibition	yes	1.20368716969096	0.492093569969272	22	16	0.0144429591051279	0.153456440491984
PWY.7883..anhydromuropeptides.recycling.II	stay_years	stay_years	1.34457886152388	0.549355876814476	22	19	0.0143829070997758	0.153456440491984
PWY.241..C4.photosynthetic.carbon.assimilation.cycle..NADP.ME.type	status	uninfected	-0.345760619351182	0.141862898920038	22	22	0.014797923544074	0.155075758065584
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP	antibiotics	yes	1.52022156525514	0.623810626845599	22	19	0.0148100031924226	0.155075758065584
P23.PWY..reductive.TCA.cycle.I	antibiotics	yes	3.08513663454969	1.26883731199543	22	15	0.0150377990729903	0.155113746651365
PWY.5747..2.methylcitrate.cycle.II	stay_years	stay_years	1.50742275173357	0.620564197682025	22	13	0.0151356666282647	0.155113746651365
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP	status	uninfected	-1.30236048210751	0.53576447836091	22	19	0.0150636511138884	0.155113746651365
P23.PWY..reductive.TCA.cycle.I	age	age	-1.10351841649418	0.455680838296029	22	15	0.0154484587161432	0.15527428726638
PWY.7031..protein.N.glycosylation..bacterial.	age	age	2.08542304225857	0.859681380796584	22	11	0.0152742962772419	0.15527428726638
PWY.7185..UTP.and.CTP.dephosphorylation.I	age	age	-0.654850476407731	0.270476638186123	22	19	0.0154737005995563	0.15527428726638
CITRULBIO.PWY..L.citrulline.biosynthesis	status	uninfected	0.301524999970262	0.124680615451281	22	22	0.0155898234128039	0.155360654010356
PWY.4984..urea.cycle	antibiotics	yes	-0.466918914481849	0.193740304181536	22	22	0.0159514414511392	0.157875567786959
