	X01_A	X01_B	X01_C	X02_A	X02_B	X02_C	X03_A	X03_B	X03_C	X04_A	X04_B	X04_C	X05_A	X05_B	X06_A	X07_A	X07_B	X08_A	X08_B	X09_A	X10_A	X10_B
PWY-6317: D-galactose degradation I (Leloir pathway)	292.959	244.69	318.279	143.391	418.204	192.065	319.014	233.21	334.866	338.269	201.889	309.497	326.952	164.679	325.501	334.812	284.74	131.252	220.262	234.177	338.013	378.735
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	0	0	0.792597	0	2.63786	0	0.905822	0.736827	0	2.00942	0	0	13.4844	0.388555	0	3.92854	0.219908	0	0	0	0	0
PWY-6328: L-lysine degradation X	0	0	3.07393	0.380105	4.66315	0.682336	1.34232	1.12244	0	3.73459	0	0.707629	14.6061	1.46003	0.704155	3.52307	1.66136	0.443684	0	2.14113	0	0.185834
PWY-6349: CDP-archaeol biosynthesis	0	36.9109	5.65255	43.9944	0	29.9536	9.34049	15.9777	0	0	0	13.2772	4.75029	41.8153	0	0	21.0622	24.1778	11.581	29.6965	0	0
PWY-6350: archaetidylinositol biosynthesis	0	34.7954	5.2099	39.0912	0	27.4152	8.02101	13.3376	0	0	0	12.165	4.20784	37.7427	0	0	18.9678	22.1259	9.9655	26.8889	0	0
PWY-6353: purine nucleotides degradation II (aerobic)	54.4146	16.4629	295.151	22.2813	157.684	79.0447	257.616	31.687	49.279	103.816	31.6538	133.172	242.768	25.4857	100.945	130.858	136.947	27.175	69.5801	51.638	95.8459	111.295
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	430.178	401.849	437.02	323.551	498.324	417.673	428.191	424.83	439.662	451.692	332.815	449.914	434.027	388.771	502.17	493.586	436.007	374.968	413.062	450.657	497.207	520.755
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	436.794	435.894	391.222	326.953	534.126	422.172	397.114	459.95	488.473	488.399	389.595	485.665	430.921	385.509	538.229	549.658	468.428	365.375	414.663	508.692	539.59	567.813
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	434.361	426.757	405.036	327.572	528.125	420.03	407.897	454.009	482.003	483.577	383.788	478.342	428.612	401.902	528.631	539.438	462.501	389.414	411.784	504.073	529.43	554.533
PWY-6396: superpathway of 2,3-butanediol biosynthesis	0	17.9145	0	0	0	2.32151	0	1.54065	5.78188	0	0	0.748434	0	1.25728	0.422574	2.08913	0.727622	0.408225	0	2.78806	0	0.795388
PWY-6435: 4-hydroxybenzoate biosynthesis III (plants)	0	0	0	10.3429	4.59989	0	0	0	0	0	0	0	0	1.19831	0	0	0	7.85235	0	0	8.68317	8.13997
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	62.1514	79.8935	13.1932	71.5033	80.9732	15.7278	14.6349	78.3723	92.2864	95.5507	148.094	44.0131	33.1614	71.217	61.2375	62.3691	58.9109	46.781	44.5212	46.3893	110.398	139.85
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	2.02693	0	0	1.52927	0	0	0	0	5.38213	0	0	37.471	0	0	0	1.03572	22.3654	0	0	20.8568	0	0
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	0	0	0	30.954	0	4.17235	0	1.55861	0.282324	0.391127	0	0	0	40.6771	0.652071	0	0	18.7353	6.39298	0	1.89935	2.98695
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	60.6979	32.7572	100.403	27.5949	37.7843	25.3051	72.7028	52.0442	56.0195	37.5876	36.5262	45.9654	101.016	18.5563	27.0034	57.855	43.139	16.7733	18.4234	35.4292	99.1238	84.094
PWY-6518: bile acids epimerization	0.730802	2.58256	0.920852	0	0	0	2.80074	3.58201	5.64372	7.00363	0	4.72402	1.62136	0	5.44851	11.1246	4.63226	0	0	8.9429	0.160828	0.555942
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	127.516	86.6591	250.336	7.87837	30.0406	126.367	199.946	78.282	77.3248	80.234	32.3611	40.6218	177.204	11.7852	69.8076	78.6511	35.4235	6.93469	98.0307	29.1486	85.7785	90.8888
PWY-6527: stachyose degradation	233.824	72.3581	355.249	119.387	369.475	134.182	265.654	132.515	260.865	303.994	174.613	289.204	303.256	113.992	247.205	314.705	257.489	111.006	182.823	244.01	221.852	251.968
PWY-6531: mannitol cycle	12.8775	3.37913	172.385	4.34386	26.7742	31.2214	147.491	9.50579	11.2198	25.6917	3.13764	2.35325	79.7377	5.38383	2.36529	25.5174	4.651	3.57819	15.8759	5.77871	17.5526	19.7039
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	7.55217	11.8124	115.527	1.54323	33.5251	2.38623	129.087	11.1995	5.90559	8.9691	9.97288	9.46423	77.4381	7.00825	1.98683	31.4922	17.745	8.3712	2.09409	71.2445	29.0825	31.0426
PWY-6549: L-glutamine biosynthesis III	87.9794	48.8535	76.8897	61.8998	84.2309	46.6521	94.6801	64.6594	126.257	77.0155	35.6463	22.6203	95.2205	67.9257	55.1957	73.7227	38.5109	62.0012	41.911	81.7097	47.2342	49.8667
PWY-6562: norspermidine biosynthesis	0	0	0.498529	0	0	0	0	0	0	0	0	0.451321	1.24029	1.60174	0	1.26877	0	0	0	2.77177	0	0.279932
PWY-6565: superpathway of polyamine biosynthesis III	0	0	0	0	0	0	0	0	0	0	0	0.458657	0	1.60711	0	0	0	0	0	0	0	0
PWY-6572: chondroitin sulfate degradation I (bacterial)	3.92418	1.99005	0.672899	0	0	22.6725	0	5.98211	1.94966	0	0	0	0.438781	0	0	0	0	0	7.39033	0	7.09093	7.12621
PWY-6583: pyruvate fermentation to butanol I	0	0	0	0	0	0	0	0	0	0	4.87362	0	0	0	0	0	0	0	0	0	0	0
PWY-6588: pyruvate fermentation to acetone	15.4329	8.60468	38.9407	31.8067	15.1461	26.6587	48.4298	5.33304	9.28195	10.8094	25.0643	15.0586	35.2354	22.2754	23.239	26.237	16.2053	22.2608	38.4767	17.6588	13.3917	9.06715
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	23.295	39.2739	13.6115	36.7697	17.0567	52.7554	14.3411	36.4687	14.1711	23.7008	18.5959	46.7755	14.8181	24.4911	45.2232	63.952	49.6027	28.452	44.7042	56.7498	37.8519	32.0625
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	14.1245	5.56445	5.02123	10.8537	0	15.6067	8.61089	7.71374	16.0631	11.1316	7.348	3.4329	5.91994	9.52367	5.1163	6.91027	5.6595	12.9228	12.3482	4.84312	3.8782	5.1317
PWY-6606: guanosine nucleotides degradation II	31.2594	7.76856	187.25	15.0843	102.933	43.6218	157.176	14.819	24.7148	62.6333	16.325	79.7551	151.172	12.3268	59.9128	81.8129	81.792	18.368	35.9626	29.7215	52.7172	62.9928
PWY-6607: guanosine nucleotides degradation I	13.3938	4.99944	5.04949	10.425	0	15.8976	8.70803	7.3005	14.8717	11.0135	7.62847	3.44294	5.95717	8.90322	5.09759	6.90639	5.69008	12.0462	12.6779	4.7752	3.89631	5.14803
