	X01_A	X01_B	X01_C	X02_A	X02_B	X02_C	X03_A	X03_B	X03_C	X04_A	X04_B	X04_C	X05_A	X05_B	X06_A	X07_A	X07_B	X08_A	X08_B	X09_A	X10_A	X10_B
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	231.327	170.722	346.4	98.5809	160.211	222.018	297.661	148.278	162.627	162.048	41.7802	114.063	295.342	128.827	165.663	273.716	94.8964	89.1434	221.993	88.6255	215.618	169.111
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	13.6524	2.30189	37.8903	1.15813	7.89469	24.9571	26.4122	8.29472	11.4459	23.7312	0	2.75422	46.7446	6.98366	3.63201	27.8628	11.7101	3.58041	22.5795	11.4679	4.92712	0.293812
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	27.3092	8.50135	178.512	22.3811	67.6449	44.8643	160.713	8.65995	23.4424	38.2555	0	16.8773	157.741	17.6474	18.4973	64.9432	22.831	11.506	22.5093	17.5318	33.3873	39.6976
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	46.7024	27.8409	208.692	23.8397	29.77	31.979	156.026	56.6562	73.792	68.4793	28.4035	54.0678	153.893	5.61801	28.9662	40.4979	41.3405	9.46302	31.1575	23.754	106.184	123.791
PPGPPMET-PWY: ppGpp metabolism	3.30529	1.6448	36.3482	0	41.9234	10.8719	37.3921	2.22179	2.63406	26.7141	7.62347	62.3738	70.1906	0.778149	45.5117	50.8931	74.1333	1.32428	5.04163	17.9506	18.732	24.429
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	1.78737	0	0	0	0	1.44026	1.13891	0	3.0664	4.23256	0	1.19551	0.589883	0	4.48359	5.17321	0	1.74413	5.07026	1.36025	6.81871	3.72299
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0	0	0.589499	0	0	0.389787	0	1.29309	0	0	0	1.62983	0.939785	0.282419	0.828849	1.45666	0.679435	0	0	3.28589	0	0.216545
PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis	0	0	144.827	0	57.6337	0	121.191	2.8816	0	21.8431	0	6.12755	30.6121	0	0	33.9201	0	0	0	5.5629	0	0
PWY-1042: glycolysis IV	494.703	502.035	505.313	388.553	669.783	387.304	462.362	490.689	553.616	608.645	474.503	656.554	506.608	461.66	665.877	697.316	649.842	398.736	422.178	566.101	568.797	625.948
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	97.4802	47.6443	171.661	80.4749	38.3395	112.221	166.377	51.6967	50.4915	104.215	45.3504	58.9321	128.13	47.6075	92.6074	68.9854	34.717	49.3889	121.687	24.94	102.12	79.1784
PWY-1501: mandelate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.644175	0	0	0	0.963939	0	0
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	29.4905	155.177	22.3573	108.12	56.9992	95.8043	39.4255	90.3487	27.211	241.404	273.592	192.283	55.0955	116.374	278.716	282.929	204.498	101.58	46.838	114.546	46.7013	75.6652
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative)	0.635511	0	0	0	0	0	0	0	0	0	0	1.15529	0	0	0	0	0.691438	0	0	4.77015	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type	104.871	110.769	211.714	66.5383	52.1265	72.534	183.519	63.8207	116.025	65.6554	24.9058	9.97079	194.984	76.713	19.244	53.8089	21.2559	89.0549	79.4324	61.7507	50.4913	60.968
PWY-2941: L-lysine biosynthesis II	172.082	208.379	86.6159	142.908	138.326	170.197	122.212	230.441	167.526	102.264	269.106	154.484	133.337	188.467	157.144	174.527	134.877	124.675	143.881	117.873	190.609	190.825
PWY-2942: L-lysine biosynthesis III	372.668	336.047	236.214	310.978	328.818	359.05	253.281	350.895	400.394	388.848	287.831	370.052	286.887	390.417	420.613	396.278	366.566	350.459	340.188	373.894	399.13	409.573
PWY-3001: superpathway of L-isoleucine biosynthesis I	336.137	351.538	410.536	253.636	404.767	260.911	366.842	328.394	353.534	340.064	249.462	282.654	327.967	250.261	376.622	348.859	278.366	243.644	261.157	276.027	361.353	369.183
PWY-3781: aerobic respiration I (cytochrome c)	0	2.58043	0	1.54669	0	0.128784	0	1.24202	0	0.458405	0	0	0	0.20556	0	0	0	0.640978	0	0	1.11127	0.113454
PWY-3801: sucrose degradation II (sucrose synthase)	0	0	0	0	0	0	0	0	0	0	0	0	1.98979	0	0	0	0	0	0	8.23542	0	0
PWY-3841: folate transformations II (plants)	388.861	359.301	298.252	329.463	457.812	427.958	313.151	391.901	407.667	406.462	402.2	426	358.466	395.795	447.702	429.571	410.031	377.235	390.169	418.917	450.748	462.284
PWY-4041: &gamma;-glutamyl cycle	69.2284	127.75	245.62	60.9863	56.098	49.321	203.443	73.5025	103.047	42.3145	65.6431	37.7186	182.988	89.1505	45.1583	57.9318	35.7764	80.2673	52.6946	62.3506	50.488	52.5376
PWY-4984: urea cycle	155.424	174.586	34.7268	61.7983	6.21359	148.933	35.4779	220.598	166.893	117.832	61.0729	134.966	44.93	80.4024	85.4513	97.2293	102.644	66.5777	117.545	17.9661	241.302	222.865
PWY-5004: superpathway of L-citrulline metabolism	0	2.49719	9.48321	0	0	0	8.62885	2.75717	3.82928	0	12.9044	4.56184	0	0	0	0	8.75343	0	0	7.01126	3.53497	3.06447
PWY-5005: biotin biosynthesis II	0	4.02485	4.43973	0	14.7346	0	6.48496	6.42391	0	5.43441	9.50095	4.00874	6.24859	1.36687	3.80319	8.71101	4.61555	1.25291	0	1.74223	37.3134	34.1217
PWY-5022: 4-aminobutanoate degradation V	20.3817	5.37915	56.5878	21.5044	9.44904	33.0339	57.9433	5.02858	11.6366	25.2768	21.6737	15.5278	74.2896	11.9942	25.0403	34.4397	14.4824	8.64137	27.2323	13.2669	3.90959	6.47879
PWY-5028: L-histidine degradation II	0	0	0	0	0	0	0	0	0	0	0	0.482534	0	0	0.443872	0	1.55661	0	0	2.0376	0	0
PWY-5030: L-histidine degradation III	150.944	83.0083	66.4304	45.6012	13.3312	151.434	66.7878	111.226	91.4551	109.026	32.9577	56.7917	82.9686	80.278	125.242	57.2809	47.7009	38.6852	144.345	29.0759	155.793	151.755
PWY-5055: nicotinate degradation III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.501657	1.11695	0	0.726649	0	0
PWY-5088: L-glutamate degradation VIII (to propanoate)	0	0	0.722658	0	0	0	2.63337	0	0	0	0	0	0.932815	0.860869	0	0	0	0.237804	0	0	0	0
PWY-5097: L-lysine biosynthesis VI	401.518	410.369	360.361	341.139	402.913	401.267	344.577	380.637	424.281	405.75	352.68	446.498	365.966	421.343	436.494	425.904	424.86	375.056	371.673	451.389	442.199	461.283
PWY-5100: pyruvate fermentation to acetate and lactate II	264.227	265.369	170.503	229.079	475.85	160.006	216.811	252.036	324.377	297.515	486.833	267.668	174.838	290.448	301.076	332.198	272.509	264.693	209.439	257.447	208.747	253.318
PWY-5103: L-isoleucine biosynthesis III	415.396	483.525	397.608	385.123	497.109	375.682	376.68	382.286	408.535	404.263	366.013	394.594	399.529	426.472	460.268	445.212	395.78	408.52	381.058	385.352	392.807	429.079
PWY-5104: L-isoleucine biosynthesis IV	0	0	35.3521	0	15.5771	1.81214	48.8329	5.55848	0	9.06096	0	0	49.8231	3.59482	0.896125	27.5817	4.47752	1.90095	0	4.36718	0	0.168216
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	67.3092	42.7018	103.156	61.9128	75.3012	38.2901	90.4101	83.8947	110.496	98.5173	51.2014	101.932	155.16	41.157	41.2259	34.5605	89.1467	33.3119	44.7924	33.8711	166.742	188.067
PWY-5130: 2-oxobutanoate degradation I	50.37	32.539	10.7611	64.1772	14.303	44.8058	12.7854	14.216	18.723	5.30333	20.0606	32.6841	10.0211	75.2543	5.60693	0	37.6723	69.9436	32.4779	14.488	31.0604	29.8539
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	15.3836	22.5244	358.769	23.2578	53.1701	13.5213	282.832	19.3423	8.44003	39.0487	11.6373	16.5126	207.626	13.4449	32.0652	67.3972	24.7071	19.7989	19.6808	24.0697	24.439	31.3263
PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)	0	1.80508	60.2113	0	9.70034	0.606687	57.5425	4.35316	0	7.23602	0	1.88007	69.2971	3.44387	3.71937	13.7858	3.23463	0.579816	1.38754	3.59821	0	0.560618
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	199.643	131.285	314.533	123.02	81.0634	237.444	288.884	183.59	126.319	159.859	86.0853	116.629	253.757	129.642	203.265	115.24	92.9153	100.127	196.92	66.4208	254.308	251.882
PWY-5156: superpathway of fatty acid biosynthesis II (plant)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32191	0	0
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	0	0	0	4.56437	0	1.54826	0	1.47589	0	0	0	0	0	4.04149	0	20.3602	0	0	2.68056	0	0	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	130.414	104.283	264.973	129.515	177.582	129.225	265.763	154.413	163.081	162.582	215.157	191.658	193.71	150.176	179.778	223.437	197.194	132.185	126.902	249.388	149.474	155.165
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	2.2207	3.12395	169.382	27.1355	21.2762	22.2451	136.12	12.5685	3.93971	10.0776	0	4.00547	92.6991	20.3369	1.1525	22.6071	10.7234	14.0838	21.5354	17.8222	0.837937	3.59696
PWY-5198: factor 420 biosynthesis II (mycobacteria)	0	32.7297	4.4645	33.844	0	24.6196	7.76307	16.4177	0	0	0	11.0728	4.63328	38.6088	0	0	19.5857	21.6488	11.5101	28.808	0	0
PWY-5209: methyl-coenzyme M oxidation to CO2	0	31.523	4.52353	32.396	0	22.2771	7.06881	14.4773	0	0	0	9.50387	3.91814	35.7739	0	0	16.6915	19.6479	8.62483	26.8263	0	0
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	0	0	15.2804	8.77392	17.8172	0	29.471	5.52387	3.87561	34.5985	95.0718	0	27.6339	11.6106	14.4153	35.0543	5.40763	13.8341	10.9488	4.46509	1.59963	3.38764
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	9.13022	16.6676	225.873	52.2161	134.882	140.498	210.036	20.518	8.96906	70.2304	28.1399	16.281	232.616	66.2904	27.9003	97.0297	34.0616	87.1191	105.699	38.5264	0.768367	6.17294
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0	11.3423	267.746	0	41.3867	15.4645	214.041	9.29035	3.20721	17.4239	3.62528	5.07731	181.414	4.69991	4.99293	36.2399	8.04435	1.34886	0	18.0151	0.709708	4.23416
PWY-5367: petroselinate biosynthesis	0	0	93.4311	0	42.678	0	76.9657	0.50808	0	4.39662	7.51679	0	42.0977	1.64002	0	8.3259	1.09967	0	0	0.621472	19.349	30.0638
